"Χρονική σήμανση","1. Με τι ασχολείστε επαγγελματικά; (Μπορείτε προαιρετικά να αναφέρετε τον οργανισμό στον οποίο απασχολείστε)","2. Θεωρείτε ότι η συγκεκριμένη εφαρμογή καλύπτει ανάγκες της σύγχρονης αγοράς;","3. Σε περίπτωση που απαντήσατε ""Όχι"" στην ερώτηση 2, επιλέξτε πιθανούς λόγους:","4. Γνωρίζετε υπάρχουσα εφαρμογή που να έχει παρόμοια χρηστικότητα με την προτεινόμενη εφαρμογή ""Order""; Αν ναι, συμπληρώστε το όνομά της στο πεδίο ""Άλλο"":","5. Ήρθε η ώρα σας να λάμψετε! Συμπληρώστε λειτουργίες που θα θέλατε να υποστηρίζει το ""Order"" ώστε να ανταποκρίνεται στις ανάγκες της επιχείρησης ή του οργανισμού σας:"
"2021/11/29 8:13:10 μ.μ. EET","Φοιτητης στο ΠΑΠΕΙ","Ναι","","Όχι",""
"2021/11/29 8:13:11 μ.μ. EET","","Ναι","","Όχι",""
"2021/11/29 8:29:43 μ.μ. EET","","Ναι","","Όχι",""
"2021/11/29 8:32:29 μ.μ. EET","Φοιτητρια στο Τμήμα μηχανικών Η/Υ και Πληροφορικής ","Ναι","","Όχι",""
"2021/11/29 8:35:32 μ.μ. EET","Φοιτητης","Ναι","","Όχι",""
"2021/11/29 8:57:59 μ.μ. EET","Φοιτητρια τμηματος Μηχανικων Η/Υ και Πληροφορικης Πανεπιστημιου Πατρων","Ναι","","Όχι",""
"2021/11/29 10:27:41 μ.μ. EET","Project Manager (Dataverse LTD)","Ναι","","Όχι","3d απεικόνιση του χώρου που έχουν τοποθετηθεί οι αισθητήρες στην εφαρμογή . Μέσω της εφαρμογής να υπάρχει χρωματική απεικόνιση των επιτρεπόμενων θέσεων αντικειμένων. "
"2021/11/29 10:32:00 μ.μ. EET","Μηχανικός Η/Υ","Όχι","Αμφισβητώ την αποδοτικότητα της εφαρμογής όσον αφορά μικρότερες/ -ους επιχειρήσεις/ οργανισμούς.;Αμφισβητώ την χρησιμότητα της εφαρμογής για την χρήση που προτείνεται. ","https://www.hellermanntyton.com/competences/rfid-tracking-identification","Ίσως χαρτογράφηση του χώρου ώστε σε πραγματικό χρόνο να υπάρχει εικόνα που βρίσκεται κάθε αντικείμενο. "
"2021/11/30 7:33:48 π.μ. EET","Ceid","Ναι","","Όχι",""
"2021/11/30 2:15:38 μ.μ. EET","Φοιτητής","Ναι","","Όχι","Τριγωνοποίηση με WIFI, Bluetooth ή 5G σήματα. Οπτικός εντοπισμός αντικειμένων με καμερες στο χώρο ή σε εξόδους του κτηρίου."
"2021/11/30 6:32:47 μ.μ. EET","ceid ","Ναι","","Όχι",""
"2021/12/01 12:26:04 π.μ. EET","Πολιτικός Μηχανικός","Ναι","","Όχι",""
"2021/12/01 1:18:41 π.μ. EET","Software engineering ","Ναι","","Όχι","Να μπορεί να γίνεται η διασύνδεση της mobile εφαρμογής με τη βάση δεδομένων έτσι ώστε να γίνεται πιο εύκολη ταξινόμηση"
"2021/12/13 4:53:10 μ.μ. EET","Φοιτητής","Ναι","","Όχι",""
